------------------------------------------------------------------------------------
导出信息：
姓名：***
支付宝账户：1234567890
起始时间：[2020-11-22 00:00:00]    终止时间：[2020-12-14 23:59:59]
导出交易类型：[全部]
导出时间：[2020-12-15 12:00:00]
共35笔记录
收入：2笔 125.19元
支出：15笔 579.68元
不计收支：18笔 11.55元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；

------------------------支付宝支付科技有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2020-12-07 06:03:08,投资理财,天弘基金,,余额宝-12月4日-收益发放,不计收支,0.31,余额宝,交易成功,20201207388077869631,,,
2020-12-04 18:47:30,公共服务,北京市政交通一卡通,service***@bjykt.com,公交出行费用,支出,6.20,余额宝,交易成功,2020120423001455631426457678,D320201204184730159381,,
2020-12-04 13:48:10,退款,北京市政交通一卡通,service***@bjykt.com,退款-地铁卡充值,不计收支,4.10,余额宝,退款成功,2020120422001455631429484788,D320201204134810159381,,
